iter	Passed	Remaining
870	68683	10172
871	68756	10092
872	68829	10013
873	68900	9933
874	68967	9852
875	69042	9773
876	69128	9695
877	69203	9615
878	69286	9537
879	69359	9458
880	69430	9378
881	69508	9299
882	69595	9221
883	69672	9142
884	69749	9063
885	69830	8984
886	69922	8907
887	70003	8829
888	70087	8751
889	70185	8674
890	70278	8597
891	70352	8517
892	70427	8438
893	70502	8359
894	70582	8280
895	70671	8202
896	70739	8122
897	70810	8043
898	70886	7963
899	70950	7883
900	71043	7806
901	71135	7728
902	71215	7649
903	71292	7570
904	71372	7492
905	71443	7412
906	71519	7333
907	71595	7254
908	71676	7175
909	71755	7096
910	71834	7017
911	71907	6938
912	71990	6860
913	72073	6781
914	72166	6703
915	72242	6624
916	72322	6546
917	72394	6466
918	72442	6385
919	72501	6304
920	72550	6223
921	72621	6143
922	72695	6064
923	72770	5985
924	72853	5907
925	72925	5827
926	73004	5749
927	73077	5669
928	73147	5590
929	73216	5510
930	73283	5431
931	73348	5351
932	73422	5272
933	73486	5192
934	73557	5113
935	73634	5034
936	73692	4954
937	73765	4875
938	73818	4795
939	73888	4716
940	73972	4638
941	74021	4557
942	74109	4479
943	74177	4400
944	74257	4321
945	74336	4243
946	74418	4164
947	74507	4086
948	74578	4007
949	74662	3929
950	74724	3850
951	74809	3771
952	74886	3693
953	74944	3613
954	74990	3533
955	75078	3455
956	75150	3376
957	75231	3298
958	75305	3219
959	75374	3140
960	75460	3062
961	75548	2984
962	75628	2905
963	75706	2827
964	75780	2748
965	75851	2669
966	75926	2591
967	76015	2512
968	76089	2434
969	76156	2355
970	76218	2276
971	76294	2197
972	76366	2119
973	76447	2040
974	76519	1962
975	76595	1883
976	76671	1804
977	76739	1726
978	76809	1647
979	76884	1569
980	76978	1490
981	77048	1412
982	77115	1333
983	77185	1255
984	77262	1176
985	77327	1097
986	77414	1019
987	77486	941
988	77568	862
989	77649	784
990	77716	705
991	77791	627
992	77864	548
993	77930	470
994	78012	392
995	78081	313
996	78148	235
997	78221	156
998	78302	78
999	78380	0
